rep,clusterer,silhouette,calinski_harabasz,davies_bouldin,ARI,NMI,purity,clusters_effective,noise_frac
pca16,KMeans(k=2),0.38778096437454224,6297.51171875,1.188572427547617,0.5766482798670872,0.5560231236433647,0.8797,2,0.0
pca16,Agglomerative(k=2),0.35482093691825867,5640.462890625,1.2113857020897956,0.8858460354465159,0.8151850006608125,0.9706,2,0.0
pca16,"DBSCAN(eps=0.4,ms=8)",,,,0.0,0.0,,0,1.0
pca16,"DBSCAN(eps=0.6,ms=8)",,,,0.0,0.0,,0,1.0
pca16,"DBSCAN(eps=0.8,ms=8)",,,,0.0,0.0,,0,1.0
pca16,"DBSCAN(eps=1.0,ms=8)",,,,0.0,0.0,,0,1.0
vae16_beta1,KMeans(k=2),0.38481640815734863,5095.1875,1.1866831817518018,0.8222685138795764,0.738766670724656,0.9534,2,0.0
vae16_beta1,Agglomerative(k=2),0.37688905000686646,4913.5791015625,1.1777780357855714,0.8641425729529335,0.7801855892006094,0.9648,2,0.0
vae16_beta1,"DBSCAN(eps=0.4,ms=8)",0.1277918964624405,192.33087158203125,1.162572122662207,0.006942271453827912,0.06173376450637778,0.5454451772464963,9,0.0296
vae16_beta1,"DBSCAN(eps=0.6,ms=8)",0.37585482001304626,183.063232421875,1.184517010794462,0.0001289513932279234,0.010189192113544193,0.5057771526173013,2,0.0047
vae16_beta1,"DBSCAN(eps=0.8,ms=8)",0.39222651720046997,142.86239624023438,0.9788681743222272,0.00010501441676595586,0.01125674769637391,0.5051546391752577,2,0.0009
vae16_beta1,"DBSCAN(eps=1.0,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta4,KMeans(k=2),0.7051079273223877,38538.5078125,0.4089294535668777,0.7177201437066465,0.6597575703853488,0.9236,2,0.0
vae16_beta4,Agglomerative(k=2),0.703928530216217,36999.484375,0.40854628504836515,0.7691060798803181,0.6885960501866492,0.9385,2,0.0
vae16_beta4,"DBSCAN(eps=0.4,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta4,"DBSCAN(eps=0.6,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta4,"DBSCAN(eps=0.8,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta4,"DBSCAN(eps=1.0,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta10,KMeans(k=2),0.5935441255569458,22061.873046875,0.5997299367987663,0.5244215498510214,0.5238857612404785,0.8621,2,0.0
vae16_beta10,Agglomerative(k=2),0.5468615889549255,17550.064453125,0.6380926403886362,0.7638525178703615,0.6766478396538969,0.937,2,0.0
vae16_beta10,"DBSCAN(eps=0.4,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta10,"DBSCAN(eps=0.6,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta10,"DBSCAN(eps=0.8,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta10,"DBSCAN(eps=1.0,ms=8)",,,,0.0,0.0,0.5,1,0.0
