rep,clusterer,silhouette,calinski_harabasz,davies_bouldin,ARI,NMI,purity,clusters_effective,noise_frac
pca16,KMeans(k=2),0.43575599789619446,729.3180541992188,0.9902797262286727,1.0,1.0,1.0,2,0.0
pca16,Agglomerative(k=2),0.43575599789619446,729.3180541992188,0.9902797262286727,1.0,1.0,1.0,2,0.0
pca16,"DBSCAN(eps=0.4,ms=8)",,,,0.0,0.0,,0,1.0
pca16,"DBSCAN(eps=0.6,ms=8)",,,,0.0,0.0,,0,1.0
pca16,"DBSCAN(eps=0.8,ms=8)",,,,0.0,0.0,,0,1.0
vae16_beta1,KMeans(k=2),0.7539615035057068,2392.355224609375,0.3849003700811066,1.0,1.0,1.0,2,0.0
vae16_beta1,Agglomerative(k=2),0.7539615035057068,2392.355224609375,0.3849003700811066,1.0,1.0,1.0,2,0.0
vae16_beta1,"DBSCAN(eps=0.4,ms=8)",0.7539615035057068,2392.355224609375,0.3849003700811066,1.0,1.0,1.0,2,0.0
vae16_beta1,"DBSCAN(eps=0.6,ms=8)",0.7539615035057068,2392.355224609375,0.3849003700811066,1.0,1.0,1.0,2,0.0
vae16_beta1,"DBSCAN(eps=0.8,ms=8)",0.7539615035057068,2392.355224609375,0.3849003700811066,1.0,1.0,1.0,2,0.0
vae16_beta4,KMeans(k=2),0.7401375770568848,4531.27880859375,0.3692536079745893,0.9850375236134279,0.9646843870643594,0.99625,2,0.0
vae16_beta4,Agglomerative(k=2),0.7397878170013428,4507.0087890625,0.36958636150287816,0.975125122351754,0.9514686051547183,0.99375,2,0.0
vae16_beta4,"DBSCAN(eps=0.4,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta4,"DBSCAN(eps=0.6,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta4,"DBSCAN(eps=0.8,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta10,KMeans(k=2),0.3034238815307617,436.9732360839844,1.1937079486472897,0.16915492700844115,0.13405520206538485,0.70625,2,0.0
vae16_beta10,Agglomerative(k=2),0.26380306482315063,342.38494873046875,1.2456634650988567,0.046278231336044084,0.04242214376030035,0.60875,2,0.0
vae16_beta10,"DBSCAN(eps=0.4,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta10,"DBSCAN(eps=0.6,ms=8)",,,,0.0,0.0,0.5,1,0.0
vae16_beta10,"DBSCAN(eps=0.8,ms=8)",,,,0.0,0.0,0.5,1,0.0
